Matriz;Legislação;Classe;Grupo;Parâmetro B.D.;Parâmetro;Unidade;Min;Max;Obs
Água Superficial;Limite CONAMA nº 357/2005;Classe 1;;SULFATO TOTAL;Sulfato total;mg/L;;250;
Água Superficial;Limite CONAMA nº 357/2005;Classe 1;;SULFETO;Sulfetos (como H2S não dissociado);mg/L;;0.002;
Água Superficial;Limite CONAMA nº 357/2005;Classe 1;;TETRACLORETO DE CARBONO;Tetracloreto de carbono;mg/L;;0.002;
Água Superficial;Limite CONAMA nº 357/2005;Classe 1;;TETRACLOROETENO;Tetracloroeteno;mg/L;;0.01;
Água Superficial;Limite CONAMA nº 357/2005;Classe 1;;TOLUENO;Tolueno;µg/L;;2;
Água Superficial;Limite CONAMA nº 357/2005;Classe 1;;TOXAFENO;Toxafeno;µg/L;;0.01;
Água Superficial;Limite CONAMA nº 357/2005;Classe 1;;TRIBUTILESTANHO;Tributilestanho;µg/L;;0.063;
Água Superficial;Limite CONAMA nº 357/2005;Classe 1;;TRICLOROBENZENOS;Triclorobenzeno (1,2,3-TCB + 1,2,4-TCB);mg/L;;0.02;
Água Superficial;Limite CONAMA nº 357/2005;Classe 1;;TRIFLURALINA;Trifluralina;µg/L;;0.2;
Água Superficial;Limite CONAMA nº 357/2005;Classe 1;;TURBIDEZ;Turbidez;UNT;;40;
Água Superficial;Limite CONAMA nº 357/2005;Classe 1;;URANIO TOTAL;Urânio total;mg/L;;0.02;
Água Superficial;Limite CONAMA nº 357/2005;Classe 1;;VANADIO TOTAL;Vanádio total;mg/L;;0.1;
Água Superficial;Limite CONAMA nº 357/2005;Classe 1;;XILENO TOTAL;Xileno;µg/L;;300;
Água Superficial;Limite CONAMA nº 357/2005;Classe 1;;ZINCO TOTAL;Zinco total;mg/L;;0.18;
Água Superficial;Limite CONAMA nº 357/2005;Classe 2;;1,1,2-TRICLOROETENO;Tricloroeteno;mg/L;;0.03;
Água Superficial;Limite CONAMA nº 357/2005;Classe 2;;1,1-DICLOROETENO;1,1-Dicloroeteno;mg/L;;0.003;
Água Superficial;Limite CONAMA nº 357/2005;Classe 2;;1,2-DICLOROETANO;1,2-Dicloroetano;mg/L;;0.01;
Água Superficial;Limite CONAMA nº 357/2005;Classe 2;;2,4,5-T;2,4,5-T;µg/L;;2;
Água Superficial;Limite CONAMA nº 357/2005;Classe 2;;2,4,5-TP;2,4,5-TP;µg/L;;10;
Água Superficial;Limite CONAMA nº 357/2005;Classe 2;;2,4,6-TRICLOROFENOL;2,4,6-Triclorofenol;mg/L;;0.01;
Água Superficial;Limite CONAMA nº 357/2005;Classe 2;;2,4-D;2,4-D;µg/L;;4;
Água Superficial;Limite CONAMA nº 357/2005;Classe 2;;2,4-DICLOROFENOL;2,4-Diclorofenol;µg/L;;0.3;
Água Superficial;Limite CONAMA nº 357/2005;Classe 2;;2-CLOROFENOL;2-Clorofenol;µg/L;;0.1;
Água Superficial;Limite CONAMA nº 357/2005;Classe 2;;ACRILAMIDA;Acrilamida;µg/L;;0.5;
Água Superficial;Limite CONAMA nº 357/2005;Classe 2;;ALACLOR;Alacloro;µg/L;;20;
